"filename", "language", "Makefile", "TOML", "Rust", "Markdown", "comment", "blank", "total"
"/home/amy/crystal/ame/Cargo.toml", "TOML", 0, 18, 0, 0, 1, 2, 21
"/home/amy/crystal/ame/Makefile", "Makefile", 11, 0, 0, 0, 0, 1, 12
"/home/amy/crystal/ame/README.md", "Markdown", 0, 0, 0, 45, 0, 11, 56
"/home/amy/crystal/ame/src/main.rs", "Rust", 0, 0, 105, 0, 0, 9, 114
"/home/amy/crystal/ame/src/mods.rs", "Rust", 0, 0, 14, 0, 0, 0, 14
"/home/amy/crystal/ame/src/mods/clearcache.rs", "Rust", 0, 0, 8, 0, 0, 4, 12
"/home/amy/crystal/ame/src/mods/clone.rs", "Rust", 0, 0, 174, 0, 0, 20, 194
"/home/amy/crystal/ame/src/mods/database.rs", "Rust", 0, 0, 167, 0, 0, 5, 172
"/home/amy/crystal/ame/src/mods/help.rs", "Rust", 0, 0, 21, 0, 0, 3, 24
"/home/amy/crystal/ame/src/mods/inssort.rs", "Rust", 0, 0, 180, 0, 0, 6, 186
"/home/amy/crystal/ame/src/mods/install.rs", "Rust", 0, 0, 48, 0, 0, 1, 49
"/home/amy/crystal/ame/src/mods/purge.rs", "Rust", 0, 0, 118, 0, 0, 3, 121
"/home/amy/crystal/ame/src/mods/search.rs", "Rust", 0, 0, 33, 0, 0, 4, 37
"/home/amy/crystal/ame/src/mods/strs.rs", "Rust", 0, 0, 111, 0, 0, 7, 118
"/home/amy/crystal/ame/src/mods/uninstall.rs", "Rust", 0, 0, 118, 0, 0, 2, 120
"/home/amy/crystal/ame/src/mods/update.rs", "Rust", 0, 0, 14, 0, 0, 3, 17
"/home/amy/crystal/ame/src/mods/upgrade.rs", "Rust", 0, 0, 201, 0, 0, 13, 214
"/home/amy/crystal/ame/src/mods/ver.rs", "Rust", 0, 0, 26, 0, 0, 2, 28
"/home/amy/crystal/ame/src/mods/xargs.rs", "Rust", 0, 0, 15, 0, 0, 2, 17
"Total", "-", 11, 18, 1353, 45, 1, 98, 1526
